"Variable","GVIF","Df","GVIF_Ratio"
"age",1.10690760525258,1,1.05209676610689
"race",1.05808333484126,2,1.01421485793845
"marital_status",1.12748937859202,4,1.01511222359906
"x6th_stage",1.96773196752271,4,1.08829276666953
"grade",1.11847326015925,3,1.01883596598086
"a_stage",1.21095034710174,1,1.10043189116898
"tumor_size",1.36530407615157,1,1.1684622698879
"estrogen_status",1.48491361289837,1,1.21857031512276
"progesterone_status",1.43469205910749,1,1.19778631612967
"regional_node_examined",1.2257294888669,1,1.10712668148993
